PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 910 
7.95237E-01 4.59404E-02 2.66756E-01 
8.10694E-01 5.48731E-02 3.14087E-01 
8.44756E-01 7.11448E-02 3.74025E-01 
9.06421E-01 9.57696E-02 4.50589E-01 
9.89885E-01 1.25677E-01 5.50140E-01 
1.09903E+00 1.61643E-01 6.83054E-01 
1.23825E+00 2.04487E-01 8.61904E-01 
1.36905E+00 2.42785E-01 1.04323E+00 
1.41180E+00 2.54960E-01 1.10642E+00 
1.64390E+00 3.18906E-01 1.47914E+00 
1.92997E+00 3.93744E-01 2.02606E+00 
2.27880E+00 4.80225E-01 2.84892E+00 
2.69967E+00 5.79793E-01 4.11579E+00 
3.20231E+00 7.49629E-01 6.13944E+00 
3.80321E+00 8.89421E-01 9.47613E+00 
4.53077E+00 1.04553E+00 1.51426E+01 
5.40657E+00 1.21896E+00 2.51478E+01 
6.45475E+00 1.41011E+00 4.34811E+01 
7.70619E+00 1.61998E+00 7.82655E+01 
9.20651E+00 1.85126E+00 1.46434E+02 
1.10459E+01 2.11358E+00 2.81813E+02 
1.34706E+01 2.44178E+00 5.42137E+02 
1.71437E+01 2.93258E+00 9.88740E+02 
2.30947E+01 3.71438E+00 1.59022E+03 
3.12350E+01 4.70514E+00 2.15132E+03 
3.98883E+01 5.60741E+00 2.50793E+03 
1.48299E+00 8.51421E-02 4.52286E-01 
1.51275E+00 1.02150E-01 5.32291E-01 
1.57784E+00 1.33106E-01 6.33636E-01 
1.69520E+00 1.79959E-01 7.63810E-01 
1.85337E+00 2.36680E-01 9.33603E-01 
2.05915E+00 3.04653E-01 1.15842E+00 
2.32048E+00 3.85380E-01 1.46125E+00 
2.56590E+00 4.57468E-01 1.76936E+00 
2.64564E+00 4.80271E-01 1.87552E+00 
3.07923E+00 6.00160E-01 2.50790E+00 
3.61218E+00 7.39941E-01 3.43460E+00 
4.26039E+00 9.01183E-01 4.82926E+00 
5.04129E+00 1.08540E+00 6.98190E+00 
